film_id,Film,budget,worldwide_box_office_gross,us_release_date,Director,Screenwriter,Story by,Producer
1,The Phantom Menace,115000000,1027082707,5/19/1999,George Lucas,George Lucas,George Lucas,Rick McCallum
2,Attack of the Clones,115000000,653779970,5/16/2002,George Lucas,George Lucas and Jonathan Hales,George Lucas,Rick McCallum
3,Revenge of the Sith,113000000,868390560,5/19/2005,George Lucas,George Lucas,George Lucas,Rick McCallum
4,A New Hope,11000000,775398007,5/25/1977,George Lucas,George Lucas,George Lucas,Gary Kurtz
5,The Empire Strikes Back,18000000,538375067,5/21/1980,Irvin Kershner,Leigh Brackett and Lawrence Kasdan,George Lucas,Gary Kurtz
6,Return of the Jedi,325000000,475106177,5/25/1983,Richard Marquand,Lawrence Kasdan and George Lucas,George Lucas,Howard Kazanjian
7,The Force Awakens,446000000,2071310218,12/18/2015,J. J. Abrams,J. J. Abrams & Lawrence Kasdan and Michael Arndt,George Lucas,"Kathleen Kennedy, J. J. Abrams and Bryan Burk"
8,The Last Jedi,317000000,1334407706,12/15/2017,Rian Johnson,Rian Johnson,Rian Johnson,Kathleen Kennedy and Ram Bergman
9,The Rise of Skywalker,416000000,1077022372,12/20/2019,J. J. Abrams,Chris Terrio & J. J. Abrams,Derek Connolly & Colin Trevorrow and J. J. Abrams & Chris Terrio,"Kathleen Kennedy, J. J. Abrams and Michelle Rejwan"
10,Rogue One: A Star Wars Story,265000000,1058682142,12/16/2016,Gareth Edwards,Chris Weitz and Tony Gilroy,John Knoll and Gary Whitta,"Kathleen Kennedy, Allison Shearmur, and Simon Emanuel"
11,Solo: A Star Wars Story,300000000,392924807,5/25/2018,Ron Howard,Jonathan Kasdan & Lawrence Kasdan,Jonathan Kasdan & Lawrence Kasdan,unknown
12,The Clone Wars,85000000,68282844,8/15/2008,Dave Filoni,"Henry Gilroy, Steven Melching, and Scott Murphy",unknown,Catherine Winder
